player_id,player_name,player_market_value,player_kit_number,player_position,player_nationality,player_nat_flag_pic,player_portrait_pic,player_birth_date,team_id,league_id
1788,Youssoupha Niang,2000000.0,38.0,Right Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/944331-1752743597.jpg?lm=1,2006-03-25,65,3
1789,Ragnar Ache,8000000.0,9.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/416380-1752742777.jpg?lm=1,1998-07-28,65,3
1790,Luca Waldschmidt,2000000.0,7.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/196095-1721140192.jpg?lm=1,1996-05-19,65,3
1791,Fynn Schenten,1000000.0,40.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/1118293-1767000491.jpg?lm=1,2007-09-14,65,3
1792,Malek El Mala,250000.0,19.0,Centre-Forward,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/1168222-1761496702.jpg?lm=1,2005-04-02,65,3
1793,Frederik Rönnow,2500000.0,1.0,Goalkeeper,Denmark,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/107775-1692707378.jpg?lm=1,1992-08-04,66,3
1794,Matheo Raab,600000.0,31.0,Goalkeeper,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/386685-1755624725.jpg?lm=1,1998-12-18,66,3
1795,Carl Klaus,350000.0,25.0,Goalkeeper,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/161057-1755624992.jpg?lm=1,1994-01-16,66,3
1796,Leopold Querfeld,18000000.0,14.0,Centre-Back,Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/597432-1726351317.jpg?lm=1,2003-12-20,66,3
1797,Danilho Doekhi,13000000.0,5.0,Centre-Back,Netherlands,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/387047-1692707468.jpg?lm=1,1998-06-30,66,3
1798,Diogo Leite,12000000.0,4.0,Centre-Back,Portugal,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/357156-1691999912.jpg?lm=1,1999-01-23,66,3
1799,Stanley Nsoki,2000000.0,34.0,Centre-Back,France,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/371141-1755624516.jpg?lm=1,1999-04-09,66,3
1800,Tom Rothe,10000000.0,15.0,Left-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/798043-1755624376.jpg?lm=1,2004-10-29,66,3
1801,Derrick Köhn,4000000.0,39.0,Left-Back,Ghana,https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/391780-1707464358.png?lm=1,1999-02-04,66,3
1802,Andrik Markgraf,50000.0,3.0,Left-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/1027870-1755624329.jpg?lm=1,2006-03-07,66,3
1803,Josip Juranovic,2500000.0,18.0,Right-Back,Croatia,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/362977-1691614466.jpg?lm=1,1995-08-16,66,3
1804,Christopher Trimmel,600000.0,28.0,Right-Back,Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/75921-1692707564.jpg?lm=1,1987-02-24,66,3
1805,Aljoscha Kemlein,12000000.0,6.0,Defensive Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/692737-1691614020.jpg?lm=1,2004-08-02,66,3
1806,Rani Khedira,2000000.0,8.0,Defensive Midfield,Tunisia,https://tmssl.akamaized.net//images/flagge/verysmall/173.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/124410-1692707430.jpg?lm=1,1994-01-27,66,3
1807,András Schäfer,4500000.0,13.0,Central Midfield,Hungary,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,https://img.a.transfermarkt.technology/portrait/medium/454863-1726351222.jpg?lm=1,1999-04-13,66,3
