team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
45,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744,/atletico-madrid/startseite/verein/13/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
46,CA Osasuna,https://tmssl.akamaized.net/images/wappen/tiny/331.png?lm=1686070937,/ca-osasuna/startseite/verein/331/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
47,Celta de Vigo,https://tmssl.akamaized.net/images/wappen/tiny/940.png?lm=1406966406,/celta-vigo/startseite/verein/940/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
48,Cádiz CF,https://tmssl.akamaized.net/images/wappen/tiny/2687.png?lm=1683542431,/fc-cadiz/startseite/verein/2687/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
49,Deportivo Alavés,https://tmssl.akamaized.net/images/wappen/tiny/1108.png?lm=1596131395,/deportivo-alaves/startseite/verein/1108/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
50,FC Barcelona,https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548,/fc-barcelona/startseite/verein/131/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
51,Getafe CF,https://tmssl.akamaized.net/images/wappen/tiny/3709.png?lm=1408655116,/fc-getafe/startseite/verein/3709/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
52,Girona FC,https://tmssl.akamaized.net/images/wappen/tiny/12321.png?lm=1659464404,/fc-girona/startseite/verein/12321/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
53,Granada CF,https://tmssl.akamaized.net/images/wappen/tiny/16795.png?lm=1620472393,/fc-granada/startseite/verein/16795/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
54,RCD Mallorca,https://tmssl.akamaized.net/images/wappen/tiny/237.png?lm=1407484750,/rcd-mallorca/startseite/verein/237/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
55,Rayo Vallecano,https://tmssl.akamaized.net/images/wappen/tiny/367.png?lm=1653488445,/rayo-vallecano/startseite/verein/367/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
56,Real Betis Balompié,https://tmssl.akamaized.net/images/wappen/tiny/150.png?lm=1663358526,/real-betis-sevilla/startseite/verein/150/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
57,Real Madrid,https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449,/real-madrid/startseite/verein/418/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
58,Real Sociedad,https://tmssl.akamaized.net/images/wappen/tiny/681.png?lm=1614795530,/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
59,Sevilla FC,https://tmssl.akamaized.net/images/wappen/tiny/368.png?lm=1408655455,/fc-sevilla/startseite/verein/368/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
60,UD Almería,https://tmssl.akamaized.net/images/wappen/tiny/3302.png?lm=1408654801,/ud-almeria/startseite/verein/3302/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
61,UD Las Palmas,https://tmssl.akamaized.net/images/wappen/tiny/472.png?lm=1407484865,/ud-las-palmas/startseite/verein/472/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
62,Valencia CF,https://tmssl.akamaized.net/images/wappen/tiny/1049.png?lm=1406966320,/fc-valencia/startseite/verein/1049/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
63,Villarreal CF,https://tmssl.akamaized.net/images/wappen/tiny/1050.png?lm=1408655310,/fc-villarreal/startseite/verein/1050/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
64,1.FC Heidenheim 1846,https://tmssl.akamaized.net/images/wappen/tiny/2036.png?lm=1685457789,/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2022,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
