team_id,team_name,team_logo_small_pic,team_logo_big_pic,league_id
99,US Salernitana 1919,https://tmssl.akamaized.net/images/wappen/small/380.png?lm=1601390035,https://tmssl.akamaized.net/images/wappen/head/380.png?lm=1601390035,4
100,US Sassuolo,https://tmssl.akamaized.net/images/wappen/small/6574.png?lm=1601389908,https://tmssl.akamaized.net/images/wappen/head/6574.png?lm=1601389908,4
101,Udinese Calcio,https://tmssl.akamaized.net/images/wappen/small/410.png?lm=1437136398,https://tmssl.akamaized.net/images/wappen/head/410.png?lm=1437136398,4
102,AS Monaco,https://tmssl.akamaized.net/images/wappen/small/162.png?lm=1654781919,https://tmssl.akamaized.net/images/wappen/head/162.png?lm=1654781919,5
103,Clermont Foot 63,https://tmssl.akamaized.net/images/wappen/small/3524.png?lm=1625739356,https://tmssl.akamaized.net/images/wappen/head/3524.png?lm=1625739356,5
104,FC Lorient,https://tmssl.akamaized.net/images/wappen/small/1158.png?lm=1406642498,https://tmssl.akamaized.net/images/wappen/head/1158.png?lm=1406642498,5
105,FC Metz,https://tmssl.akamaized.net/images/wappen/small/347.png?lm=1625391843,https://tmssl.akamaized.net/images/wappen/head/347.png?lm=1625391843,5
106,FC Nantes,https://tmssl.akamaized.net/images/wappen/small/995.png?lm=1581355747,https://tmssl.akamaized.net/images/wappen/head/995.png?lm=1581355747,5
107,FC Toulouse,https://tmssl.akamaized.net/images/wappen/small/415.png?lm=1530117274,https://tmssl.akamaized.net/images/wappen/head/415.png?lm=1530117274,5
108,LOSC Lille,https://tmssl.akamaized.net/images/wappen/small/1082.png?lm=1529521041,https://tmssl.akamaized.net/images/wappen/head/1082.png?lm=1529521041,5
109,Le Havre AC,https://tmssl.akamaized.net/images/wappen/small/738.png?lm=1408780648,https://tmssl.akamaized.net/images/wappen/head/738.png?lm=1408780648,5
110,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/small/969.png?lm=1459072367,https://tmssl.akamaized.net/images/wappen/head/969.png?lm=1459072367,5
111,OGC Nice,https://tmssl.akamaized.net/images/wappen/small/417.png?lm=1408779490,https://tmssl.akamaized.net/images/wappen/head/417.png?lm=1408779490,5
112,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/small/1041.png?lm=1656668172,https://tmssl.akamaized.net/images/wappen/head/1041.png?lm=1656668172,5
113,Olympique Marseille,https://tmssl.akamaized.net/images/wappen/small/244.png?lm=1485642163,https://tmssl.akamaized.net/images/wappen/head/244.png?lm=1485642163,5
114,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/small/583.png?lm=1522312728,https://tmssl.akamaized.net/images/wappen/head/583.png?lm=1522312728,5
115,RC Lens,https://tmssl.akamaized.net/images/wappen/small/826.png?lm=1595457059,https://tmssl.akamaized.net/images/wappen/head/826.png?lm=1595457059,5
116,RC Strasbourg Alsace,https://tmssl.akamaized.net/images/wappen/small/667.png?lm=1664991833,https://tmssl.akamaized.net/images/wappen/head/667.png?lm=1664991833,5
117,Stade Brestois 29,https://tmssl.akamaized.net/images/wappen/small/3911.png?lm=1408780312,https://tmssl.akamaized.net/images/wappen/head/3911.png?lm=1408780312,5
118,Stade Reims,https://tmssl.akamaized.net/images/wappen/small/1421.png?lm=1592601839,https://tmssl.akamaized.net/images/wappen/head/1421.png?lm=1592601839,5
119,Stade Rennais FC,https://tmssl.akamaized.net/images/wappen/small/273.png?lm=1408779098,https://tmssl.akamaized.net/images/wappen/head/273.png?lm=1408779098,5
120,Boavista FC,https://tmssl.akamaized.net/images/wappen/small/2503.png?lm=1480959207,https://tmssl.akamaized.net/images/wappen/head/2503.png?lm=1480959207,6
121,CF Estrela Amadora SAD,https://tmssl.akamaized.net/images/wappen/small/2431.png?lm=1598342709,https://tmssl.akamaized.net/images/wappen/head/2431.png?lm=1598342709,6
122,Casa Pia AC,https://tmssl.akamaized.net/images/wappen/small/3268.png?lm=1663076157,https://tmssl.akamaized.net/images/wappen/head/3268.png?lm=1663076157,6
123,FC Arouca,https://tmssl.akamaized.net/images/wappen/small/8024.png?lm=1530096604,https://tmssl.akamaized.net/images/wappen/head/8024.png?lm=1530096604,6
124,FC Famalicão,https://tmssl.akamaized.net/images/wappen/small/3329.png?lm=1565881258,https://tmssl.akamaized.net/images/wappen/head/3329.png?lm=1565881258,6
125,FC Porto,https://tmssl.akamaized.net/images/wappen/small/720.png?lm=1486310161,https://tmssl.akamaized.net/images/wappen/head/720.png?lm=1486310161,6
126,FC Vizela,https://tmssl.akamaized.net/images/wappen/small/6912.png?lm=1662237514,https://tmssl.akamaized.net/images/wappen/head/6912.png?lm=1662237514,6
127,GD Chaves,https://tmssl.akamaized.net/images/wappen/small/3325.png?lm=1416392512,https://tmssl.akamaized.net/images/wappen/head/3325.png?lm=1416392512,6
128,GD Estoril Praia,https://tmssl.akamaized.net/images/wappen/small/1465.png?lm=1534340702,https://tmssl.akamaized.net/images/wappen/head/1465.png?lm=1534340702,6
129,Gil Vicente FC,https://tmssl.akamaized.net/images/wappen/small/2424.png?lm=1624283300,https://tmssl.akamaized.net/images/wappen/head/2424.png?lm=1624283300,6
130,Moreirense FC,https://tmssl.akamaized.net/images/wappen/small/979.png?lm=1552324606,https://tmssl.akamaized.net/images/wappen/head/979.png?lm=1552324606,6
131,Portimonense SC,https://tmssl.akamaized.net/images/wappen/small/7378.png?lm=1665922885,https://tmssl.akamaized.net/images/wappen/head/7378.png?lm=1665922885,6
132,Rio Ave FC,https://tmssl.akamaized.net/images/wappen/small/2425.png?lm=1516613968,https://tmssl.akamaized.net/images/wappen/head/2425.png?lm=1516613968,6
133,SC Braga,https://tmssl.akamaized.net/images/wappen/small/1075.png?lm=1432893871,https://tmssl.akamaized.net/images/wappen/head/1075.png?lm=1432893871,6
134,SC Farense,https://tmssl.akamaized.net/images/wappen/small/4294.png?lm=1550150253,https://tmssl.akamaized.net/images/wappen/head/4294.png?lm=1550150253,6
135,SL Benfica,https://tmssl.akamaized.net/images/wappen/small/294.png?lm=1535908439,https://tmssl.akamaized.net/images/wappen/head/294.png?lm=1535908439,6
136,Sporting CP,https://tmssl.akamaized.net/images/wappen/small/336.png?lm=1621513752,https://tmssl.akamaized.net/images/wappen/head/336.png?lm=1621513752,6
137,Vitória Guimarães SC,https://tmssl.akamaized.net/images/wappen/small/2420.png?lm=1432894021,https://tmssl.akamaized.net/images/wappen/head/2420.png?lm=1432894021,6
138,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/small/1090.png?lm=1586848339,https://tmssl.akamaized.net/images/wappen/head/1090.png?lm=1586848339,7
139,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/small/610.png?lm=1657054414,https://tmssl.akamaized.net/images/wappen/head/610.png?lm=1657054414,7
140,Almere City FC,https://tmssl.akamaized.net/images/wappen/small/723.png?lm=1588851577,https://tmssl.akamaized.net/images/wappen/head/723.png?lm=1588851577,7
141,Excelsior Rotterdam,https://tmssl.akamaized.net/images/wappen/small/798.png?lm=1626701001,https://tmssl.akamaized.net/images/wappen/head/798.png?lm=1626701001,7
142,FC Utrecht,https://tmssl.akamaized.net/images/wappen/small/200.png?lm=1628450351,https://tmssl.akamaized.net/images/wappen/head/200.png?lm=1628450351,7
143,FC Volendam,https://tmssl.akamaized.net/images/wappen/small/724.png?lm=1407649576,https://tmssl.akamaized.net/images/wappen/head/724.png?lm=1407649576,7
144,Feyenoord Rotterdam,https://tmssl.akamaized.net/images/wappen/small/234.png?lm=1457643518,https://tmssl.akamaized.net/images/wappen/head/234.png?lm=1457643518,7
145,Fortuna Sittard,https://tmssl.akamaized.net/images/wappen/small/385.png?lm=1610789891,https://tmssl.akamaized.net/images/wappen/head/385.png?lm=1610789891,7
146,Go Ahead Eagles,https://tmssl.akamaized.net/images/wappen/small/1435.png?lm=1540316767,https://tmssl.akamaized.net/images/wappen/head/1435.png?lm=1540316767,7
147,Heracles Almelo,https://tmssl.akamaized.net/images/wappen/small/1304.png?lm=1488213735,https://tmssl.akamaized.net/images/wappen/head/1304.png?lm=1488213735,7
148,NEC Nijmegen,https://tmssl.akamaized.net/images/wappen/small/467.png?lm=1460302949,https://tmssl.akamaized.net/images/wappen/head/467.png?lm=1460302949,7
149,PEC Zwolle,https://tmssl.akamaized.net/images/wappen/small/1269.png?lm=1610790473,https://tmssl.akamaized.net/images/wappen/head/1269.png?lm=1610790473,7
150,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/small/383.png?lm=1682925949,https://tmssl.akamaized.net/images/wappen/head/383.png?lm=1682925949,7
151,RKC Waalwijk,https://tmssl.akamaized.net/images/wappen/small/235.png?lm=1435505083,https://tmssl.akamaized.net/images/wappen/head/235.png?lm=1435505083,7
152,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/small/306.png?lm=1655978084,https://tmssl.akamaized.net/images/wappen/head/306.png?lm=1655978084,7
153,Sparta Rotterdam,https://tmssl.akamaized.net/images/wappen/small/468.png?lm=1485262132,https://tmssl.akamaized.net/images/wappen/head/468.png?lm=1485262132,7
154,Twente Enschede FC,https://tmssl.akamaized.net/images/wappen/small/317.png?lm=1610789581,https://tmssl.akamaized.net/images/wappen/head/317.png?lm=1610789581,7
155,Vitesse Arnhem,https://tmssl.akamaized.net/images/wappen/small/499.png?lm=1679396090,https://tmssl.akamaized.net/images/wappen/head/499.png?lm=1679396090,7
